	#_missing_datasets	missing_datasets	#_datasets_with_wrong_sampleN	datasets_with_wrong_sampleN	#_missing_datatypes	missing_datatypes
HCMI-CMDC	1	['somaticmutation_wxs']	1	['somaticmutation_wxs']	1	['Masked Somatic Mutation/Aliquot Ensemble Somatic Variant Merging and Masking/WXS']
TCGA-BRCA	0	[]	4	['mirna', 'somaticmutation_wxs', 'methylation27', 'methylation450']	0	[]
TARGET-ALL-P3	1	['methylation_epic']	2	['somaticmutation_wxs', 'methylation_epic']	1	['Methylation Beta Value/SeSAMe Methylation Beta Estimation/Illumina Methylation Epic/Methylation Array']
EXCEPTIONAL_RESPONDERS-ER	3	['star_counts', 'somaticmutation_wxs', 'somaticmutation_targeted']	3	['star_counts', 'somaticmutation_wxs', 'somaticmutation_targeted']	3	['Masked Somatic Mutation/Aliquot Ensemble Somatic Variant Merging and Masking/Targeted Sequencing', 'Gene Expression Quantification/STAR - Counts/RNA-Seq', 'Masked Somatic Mutation/Aliquot Ensemble Somatic Variant Merging and Masking/WXS']
CGCI-HTMCP-LC	0	[]	0	[]	0	[]
CPTAC-2	1	['somaticmutation_wxs']	1	['somaticmutation_wxs']	1	['Masked Somatic Mutation/Aliquot Ensemble Somatic Variant Merging and Masking/WXS']
CMI-MBC	2	['star_counts', 'somaticmutation_wxs']	2	['star_counts', 'somaticmutation_wxs']	2	['Gene Expression Quantification/STAR - Counts/RNA-Seq', 'Masked Somatic Mutation/Aliquot Ensemble Somatic Variant Merging and Masking/WXS']
TARGET-ALL-P2	5	['star_counts', 'mirna', 'allele_cnv_ascat2', 'gene-level_ascat2', 'somaticmutation_wxs']	5	['star_counts', 'mirna', 'allele_cnv_ascat2', 'gene-level_ascat2', 'somaticmutation_wxs']	5	['miRNA Expression Quantification/BCGSC miRNA Profiling/miRNA-Seq', 'Gene Expression Quantification/STAR - Counts/RNA-Seq', 'Gene Level Copy Number/ASCAT2/Affymetrix SNP 6.0/Genotyping Array', 'Masked Somatic Mutation/Aliquot Ensemble Somatic Variant Merging and Masking/WXS', 'Allele-specific Copy Number Segment/ASCAT2/Affymetrix SNP 6.0/Genotyping Array']
OHSU-CNL	1	['star_counts']	1	['star_counts']	1	['Gene Expression Quantification/STAR - Counts/RNA-Seq']
TARGET-ALL-P1	0	[]	0	[]	0	[]
MMRF-COMMPASS	2	['star_counts', 'somaticmutation_wxs']	2	['star_counts', 'somaticmutation_wxs']	2	['Gene Expression Quantification/STAR - Counts/RNA-Seq', 'Masked Somatic Mutation/Aliquot Ensemble Somatic Variant Merging and Masking/WXS']
ORGANOID-PANCREATIC	1	['star_counts']	1	['star_counts']	1	['Gene Expression Quantification/STAR - Counts/RNA-Seq']
NCICCR-DLBCL	1	['star_counts']	1	['star_counts']	1	['Gene Expression Quantification/STAR - Counts/RNA-Seq']
TCGA-SARC	0	[]	0	[]	0	[]
TCGA-ACC	0	[]	0	[]	0	[]
WCDT-MCRPC	1	['star_counts']	1	['star_counts']	1	['Gene Expression Quantification/STAR - Counts/RNA-Seq']
TCGA-UCEC	0	[]	1	['somaticmutation_wxs']	0	[]
MP2PRT-ALL	4	['star_counts', 'segment_cnv_ascat-ngs', 'gene-level_ascat-ngs', 'somaticmutation_wxs']	4	['star_counts', 'segment_cnv_ascat-ngs', 'gene-level_ascat-ngs', 'somaticmutation_wxs']	4	['Gene Level Copy Number/AscatNGS/Illumina/WGS', 'Gene Expression Quantification/STAR - Counts/RNA-Seq', 'Masked Somatic Mutation/Aliquot Ensemble Somatic Variant Merging and Masking/WXS', 'Copy Number Segment/AscatNGS/Illumina/WGS']
TCGA-KIRC	0	[]	1	['somaticmutation_wxs']	0	[]
